Nome;Nível;Início;Término;Instituição;Situação;Motivo do interrrompimento;LINK;ID
Adalmir Antonio Marquetti;PQ-2;01/03/23;28/02/26;PUCRS;Em folha de pagamento;;http://lattes.cnpq.br/3474246821206609;3474246821206609
Adelar Fochezatto;PQ-1D;01/03/22;28/02/26;PUCRS;Em folha de pagamento;;http://lattes.cnpq.br/5935973885331465;5935973885331465
Admir Antonio Betarelli Junior;PQ-2;01/03/23;28/02/26;UFJF;Suspenso;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/3620301469610793;3620301469610793
Ahmad Saeed Khan;PQ-1D;01/03/20;29/02/24;UFC;Em folha de pagamento;;http://lattes.cnpq.br/3198350508846033;3198350508846033
Aléssio Tony Cavalcanti de Almeida;PQ-2;01/03/22;28/02/25;UFPB;Suspenso;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/8915074296658510;8915074296658510
Alexandre Alves Porsse;PQ-2;01/03/22;28/02/25;UFPR;Suspenso;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/3317763390163110;3317763390163110
Alexandre Gori Maia;PQ-1D;01/03/23;28/02/27;UNICAMP;Em folha de pagamento;;http://lattes.cnpq.br/8284067987442342;8284067987442342
Alexandre Nunes de Almeida;PQ-1D;01/03/23;28/02/27;USP;Em folha de pagamento;;http://lattes.cnpq.br/8825551833619350;8825551833619350
Ana Flavia Machado;PQ-2;01/03/23;28/02/26;UFMG;Em folha de pagamento;;http://lattes.cnpq.br/9625562877284120;9625562877284120
Ana Lucia Kassouf;PQ-SR;01/03/22;28/02/27;USP;Em folha de pagamento;;http://lattes.cnpq.br/8017029874158682;8017029874158682
Ana Paula Macedo de Avellar;PQ-2;01/03/21;29/02/24;UFU;Suspenso;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/8135896270067246;8135896270067246
Anderson Moreira Aristides dos Santos;PQ-2;01/03/22;28/02/25;UFAL;Em folha de pagamento;;http://lattes.cnpq.br/0335447705890131;0335447705890131
André Carraro;PQ-2;01/03/23;28/02/26;UFPEL;Em folha de pagamento;;http://lattes.cnpq.br/6971376831898637;6971376831898637
André Filipe Zago de Azevedo;PQ-2;01/03/22;28/02/25;UNISINOS;Em folha de pagamento;;http://lattes.cnpq.br/0625926234026025;0625926234026025
André Luis Squarize Chagas;PQ-2;01/03/22;28/02/25;FEAC/USP;Em folha de pagamento;;http://lattes.cnpq.br/9393232413376568;9393232413376568
André Moreira Cunha;PQ-1B;01/03/22;28/02/26;UFRGS;Em folha de pagamento;;http://lattes.cnpq.br/8489743997277206;8489743997277206
André Portela Fernandes de Souza;PQ-1D;01/03/23;28/02/27;FGV;Em folha de pagamento;;http://lattes.cnpq.br/9655645041052617;9655645041052617
