issn,revista,qualis
22366695,A BARRIGUDA REVISTA CIENTIFICA,B3
14158973,A COR DAS LETRAS,A3
00117641,A DEFESA NACIONAL,B4
14136090,A ECONOMIA EM REVISTA,B3
21767475,HISTORIA DA ENFERMAGEM REVISTA ELETRONICA,B4
19841035,A LEITURA CADERNO DA ESCOLA SUPERIOR DE MAGISTRATURA DO ESTADO DO PARA,C
21788839,CONJUNTURA AUSTRAL,A2
2319037X,A REVISTA EM FOCO,C
16760336,A TERCEIRA IDADE,B4
15597776,AACN ADVANCED CRITICAL CARE,B1
12321966,AAEM ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,B3
00946354,AANA JOURNAL,A3
01491423,AAPG BULLETIN,A1
15309932,AAPS PHARMSCITECH,A3
23753803,AASCIT COMMUNICATIONS,C
07470088,ABA JOURNAL,B1
02136252,ABACO,A4
00013072,ABACUS,B1
19898800,ABACUS,B1
23169451,ABAKOS,B2
01026720,ABCD ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA,B1
23184965,ABCS HEALTH SCIENCES,A3
23578114,ABCS HEALTH SCIENCES,A3
19804814,ABCUSTOS,B3
19842090,ABRIL,B3
00657727,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,C
15163210,AC REVISTA DE DIREITO ADMINISTRATIVO CONSTITUCIONAL,A2
10128255,ACADEMIA,A3
23157739,ACADEMIA JOURNAL OF AGRICULTURAL RESEARCH,B4
23157704,ACADEMIA JOURNAL OF EDUCATIONAL RESEARCH,C
23157720,ACADEMIA JOURNAL OF MEDICINAL PLANTS,C
23157771,ACADEMIA JOURNAL OF MICROBIOLOGY RESEARCH,C
23157712,ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH,C
19814763,ACADEMIA REVISTA DE DIVULGACAO CIENTIFICA EM CIENCIAS JURIDICAS E SOCIAIS,C
10696563,ACADEMIC EMERGENCY MEDICINE,A1
22813993,ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES,B4
20793456,ACADEMIC JOURNAL OF SURINAME,B4
10429670,ACADEMIC PSYCHIATRY,A2
10766332,ACADEMIC RADIOLOGY,A3
23181494,ACADEMICO MUNDO,B3
16310691,ACADEMIE DES SCIENCES COMPTES RENDUS BIOLOGIES,A2
18069495,ACADEMUS REVISTA CIENTIFICA DA SAUDE,B4
00014265,ACADEMY OF GENERAL DENTISTRY,C
15438643,ACADEMY OF MANAGEMENT PROCEEDINGS,NP
23586559,ACANTO EM REVISTA,B4
15197859,ACAO ERGONOMICA,C
22380701,ACAO MIDIATICA ESTUDOS EM COMUNICACAO SOCIEDADE E CULTURA,B2
01328077,ACARINA RUSSIAN JOURNAL OF ACAROLOGY,B1
0044586X,ACAROLOGIA,B1
00014575,ACCIDENT ANALYSIS AND PREVENTION,A1
09513574,ACCOUNTING AUDITING ACCOUNTABILITY JOURNAL,A1
13680668,ACCOUNTING AUDITING ACCOUNTABILITY JOURNAL,A1
1541115X,ACCOUNTING DEPARTMENT MANAGEMENT REPORT,C
00014842,ACCOUNTS OF CHEMICAL RESEARCH,A1
09491775,ACCREDITATION AND QUALITY ASSURANCE,B2
23585587,ACENO REVISTA DE ANTROPOLOGIA DO CENTROOESTE,A3
22378723,ACERVO REVISTA DO ARQUIVO NACIONAL,A3
0102700X,ACERVO REVISTA DO ARQUIVO NACIONAL,A3
23190698,ACESSO LIVRE,B1
03299147,ACHERONTA,B4
23185724,ACHIOTECOM REVISTA ELETRONICA DE MODA,B3
0889325X,ACI MATERIALS JOURNAL,A2
08893241,ACI STRUCTURAL JOURNAL,A3
15596915,APPLIED COMPUTING REVIEW,C
03600300,ACM COMPUTING SURVEYS,A1
15504832,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING,A3
19367228,ACM TRANSACTIONS ON ACCESSIBLE COMPUTING,A3
15443566,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,A3
15564665,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,A2
07342071,ACM TRANSACTIONS ON COMPUTER SYSTEMS,A1
10844309,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,A4
15399087,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,A4
07300301,ACM TRANSACTIONS ON GRAPHICS,A1
15335399,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,A2
15564681,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,A1
15516857,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,A2
1049331X,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,A2
15591131,ACM TRANSACTIONS ON THE WEB,A2
13317768,ACS AGRICULTURAE CONSPECTUS SCINTIFICUS,C
19448252,ACS APPLIED MATERIALS INTERFACES,A1
19448244,ACS APPLIED MATERIALS INTERFACES,A1
23739878,ACS BIOMATERIALS SCIENCE ENGINNERING,A2
21555435,ACS CATALYSIS,A1
15548929,ACS CHEMICAL BIOLOGY,A1
19487193,ACS CHEMICAL NEUROSCIENCE,A1
23738227,ACS INFECTIOUS DISEASES,A1
19485875,ACS MED CHEM LETT,A2
19360851,ACS NANO,A1
24701343,ACS OMEGA,A3
23304022,ACS PHOTONICS,A2
23793694,ACS SENSORS,A1
21680485,ACS SUSTAINABLE CHEMISTRY ENGINEERING,A1
21615063,ACS SYNTHETIC BIOLOGY,A1
09064710,ACTA AGRICULTURAE SCANDINAVICA SECTION B SOIL AND PLANT SCIENCE,A4
16511913,ACTA AGRICULTURAE SCANDINAVICA SECTION B SOIL AND PLANT SCIENCE,A4
01202812,ACTA AGRONOMICA,B4
01393006,ACTA ALIMENTARIA AN INTERNATIONAL JOURNAL OF FOOD SCIENCE,C
18094392,ACTA AMAZONICA,B1
00445967,ACTA AMAZONICA,B1
16777298,ACTA AMBIENTAL CATARINENSE,B1
21751552,ACTA AMBIENTAL CATARINENSE,B1
00015172,ACTA ANAESTHESIOLOGICA SCANDINAVICA,A3
1234950X,ACTA ANGIOLOGICA,B4
23582375,ACTA APICOLA BRASILICA,B3
00945765,ACTA ASTRONAUTICA,A1
00015237,ACTA ASTRONOMICA,A1
16729145,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,A4
1726569X,ACTA BIOETHICA,B4
07175906,ACTA BIOETHICA,B4
23583363,ACTA BIOLOGICA CATARINENSE,C
0120548X,ACTA BIOLOGICA COLOMBIANA,B1
03012123,ACTA BIOLOGICA PARANAENSE,C
17427061,ACTA BIOMATERIALIA,A1
22360867,ACTA BIOMEDICA BRASILIENSIA,B1
1677941X,ACTA BOTANICA BRASILICA,B1
01023306,ACTA BOTANICA BRASILICA,B1
