Rank,Sourceid,Title,Type,Issn,SJR
1,28773,CA - A Cancer Journal for Clinicians,journal,"15424863, 00079235",88
2,19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,journal,"10575987, 15458601",41
3,21100812243,Nature Reviews Materials,journal,20588437,36
4,29431,Quarterly Journal of Economics,journal,"00335533, 15314650",36
5,20315,Nature Reviews Molecular Cell Biology,journal,"14710072, 14710080",29
6,58530,"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",book series,"15518922, 15518930",29
7,18991,Nature Reviews Genetics,journal,"14710056, 14710064",28
8,18434,Cell,journal,"00928674, 10974172",24
9,29719,Reviews of Modern Physics,journal,"00346861, 15390756",21
10,12464,Nature Reviews Cancer,journal,"1474175X, 14741768",21
11,24404,Journal of Political Economy,journal,"00223808, 1537534X",21
12,23340,Chemical Reviews,journal,"15206890, 00092665",20
13,71056,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,journal,"15458636, 15460738",20
14,21318,Nature Reviews Immunology,journal,"14741741, 14741733",20
15,21100778827,Nature Methods,journal,"15487091, 15487105",20
16,18990,Nature Genetics,journal,"10614036, 15461718",19
17,21100812579,Nature Energy,journal,20587546,19
18,20111,"Vital & health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics]",journal,8864691,19
19,15847,New England Journal of Medicine,journal,"00284793, 15334406",18
20,16801,Annual Review of Biochemistry,journal,"15454509, 00664154",17
21,17500,Journal of Finance,journal,"00221082, 15406261",17
22,15819,Nature Medicine,journal,"1546170X, 10788956",15
23,12354,The Lancet Oncology,journal,"14702045, 14745488",15
24,21100826569,Nature Reviews Chemistry,journal,23973358,15
25,5200152704,Nature Nanotechnology,journal,"17483387, 17483395",15
26,17854,Nature Materials,journal,"14764660, 14761122",14
27,17437,Nature Reviews Neuroscience,journal,"14710048, 1471003X",14
28,19482,Econometrica,journal,"00129682, 14680262",14
29,16590,The Lancet,journal,"01406736, 1474547X",14
30,23350,Chemical Society Reviews,journal,"03060012, 14604744",14
31,26978,Advances in Physics,journal,"14606976, 00018732",14
32,24202,Review of Economic Studies,journal,"00346527, 1467937X",14
33,21206,Nature,journal,"14764687, 00280836",14
34,20651,Annual Review of Immunology,journal,"15453278, 07320582",13
35,20110,NBER Macroeconomics Annual,book series,"15372642, 08893365",13
36,22697,American Economic Review,journal,28282,13
37,17436,Nature Neuroscience,journal,"10976256, 15461726",13
38,110561,Proceedings of the IEEE International Conference on Computer Vision,conference and proceedings,15505499,13
39,5700165152,Nature Photonics,journal,17494885,13
40,24212,Proceedings of the IEEE Computer Society Conference on Computer  Vision and Pattern Recognition,conference and proceedings,10636919,13
41,20313,Nature Reviews Microbiology,journal,"17401534, 17401526",13
42,23571,Science,journal,"10959203, 00368075",13
43,17500155114,Energy and Environmental Sciences,journal,"17545692, 17545706",13
44,26651,Annual Review of Astronomy and Astrophysics,book series,"15454282, 00664146",12
45,16161,Review of Financial Studies,journal,"14657368, 08939454",12
46,19900191906,Academy of Management Annals,journal,"19416520, 19416067",12
47,16115,Nature Biotechnology,journal,"15461696, 10870156",12
48,21100780831,Nature Reviews Disease Primers,journal,2056676X,12
49,24379,Journal of Financial Economics,journal,0304405X,11
